code,name,n_days,years,orig_annual_return,synth_annual_return,diff_annual_return,orig_annual_vol,synth_annual_vol,diff_annual_vol,orig_sharpe,synth_sharpe,diff_sharpe,orig_max_drawdown,synth_max_drawdown,diff_max_drawdown,match_quality
sh.518880,华安黄金ETF,3138,12.45,0.09780353171281497,0.09780353171281608,1.1102230246251565e-15,0.1513707240738092,0.15137072407380917,-2.7755575615628914e-17,0.5139932585304774,0.5139932585304848,7.438494264988549e-15,-0.30384744623655907,-0.26533866286144286,0.03850878337511621,perfect
sh.511380,博时可转债ETF,1508,5.98,0.05551572461619436,0.055515724616195916,1.5543122344752192e-15,0.09983379476307541,0.09983379476307537,-4.163336342344337e-17,0.35574851883052155,0.35574851883053726,1.5709655798445965e-14,-0.1589621479596026,-0.1299587124159072,0.02900343554369539,perfect
sh.510310,易方达沪深300ETF,3220,12.77,0.07360104963236713,0.07360104963236713,0.0,0.22179909464109054,0.22179909464109054,0.0,0.24166487117137667,0.24166487117137667,0.0,-0.4567843866171004,-0.3465792374802276,0.1102051491368728,perfect
sh.588200,科创芯片ETF嘉实,889,3.52,0.5064318543692299,0.5064318543692305,6.661338147750939e-16,0.40373113372058644,0.40373113372058633,-1.1102230246251565e-16,1.2048410779880028,1.2048410779880048,1.9984014443252818e-15,-0.4809554551323434,-0.5061125882887797,-0.025157133156436307,perfect
sh.515880,国泰中证全指通信设备ETF,1646,6.53,0.27982924749471283,0.27982924749471305,2.220446049250313e-16,0.3498804811156916,0.3498804811156916,0.0,0.7426228712907182,0.7426228712907189,6.661338147750939e-16,-0.46974063400576366,-0.4245496791233008,0.04519095488246283,perfect
sz.159941,广发纳指100ETF,2661,10.56,0.19776357722967974,0.19776357722967974,0.0,0.23191723598983868,0.23191723598983868,0.0,0.7664957564321281,0.7664957564321281,0.0,-0.3109730848861284,-0.3186509577417426,-0.007677872855614221,perfect
sz.159792,富国中证港股通互联网ETF,1147,4.55,-0.13553679091713722,-0.13553679091713722,0.0,0.3636532794361068,0.3636532794361068,0.0,-0.42770627878928485,-0.42770627878928485,0.0,-0.5966228893058162,-0.5334057780873103,0.06321711121850593,perfect
sh.512400,南方中证申万有色金属ETF,2137,8.48,0.07175232356054839,0.07175232356054839,0.0,0.32242542872801866,0.3224254287280187,5.551115123125783e-17,0.16050943551416957,0.16050943551416955,-2.7755575615628914e-17,-0.5335276967930029,-0.5214394377103815,0.012088259082621455,perfect
sz.159907,广发国证2000ETF,3603,14.29,0.056448507836177386,0.05644850783617761,2.220446049250313e-16,0.26960312300365047,0.26960312300365047,0.0,0.13519319594708057,0.1351931959470814,8.326672684688674e-16,-0.6267828843106181,-0.6410121397053838,-0.014229255394765716,perfect
sh.510880,华泰柏瑞上证红利ETF,4722,18.73,0.04469090788935781,0.044690907889358034,2.220446049250313e-16,0.2378834906406388,0.23788349064063877,-2.7755575615628914e-17,0.10379412132747536,0.1037941213274763,9.43689570931383e-16,-0.75,-0.6067179293977634,0.14328207060223663,perfect
sz.159570,汇添富国证港股通创新药ETF,585,2.32,0.15766878266428064,0.15766878266428086,2.220446049250313e-16,0.36595515477930934,0.3659551547793094,5.551115123125783e-17,0.3761903087478091,0.3761903087478096,4.996003610813204e-16,-0.42087542087542096,-0.4158335698897938,0.00504185098562715,perfect
sh.515450,南方标普中国A股大盘红利低波50ETF,1536,6.09,0.09730783887351158,0.09730783887351135,-2.220446049250313e-16,0.13392247650662656,0.13392247650662656,0.0,0.577258133885288,0.5772581338852864,-1.6653345369377348e-15,-0.13870246085011181,-0.17224129620113243,-0.03353883535102062,perfect
sh.588170,科创半导体ETF华夏,296,1.17,2.1781701272670797,2.1781701272670784,-1.3322676295501878e-15,0.4109954666445734,0.4109954666445735,5.551115123125783e-17,5.251080127201143,5.2510801272011385,-4.440892098500626e-15,-0.2012513034410844,-0.14181035536286876,0.05944094807821565,perfect
sz.159509,景顺长城纳斯达克科技ETF(QDII),697,2.76,0.4200595389722763,0.4200595389722763,0.0,0.31530531826341757,0.3153053182634176,5.551115123125783e-17,1.2688004794072392,1.268800479407239,-2.220446049250313e-16,-0.3046919163369135,-0.26272629836280736,0.04196561797410614,perfect
sz.159781,易方达中证科创创业50ETF,1206,4.78,0.0787465680689452,0.0787465680689452,0.0,0.30431861036582736,0.30431861036582736,0.0,0.19304296900647908,0.19304296900647908,0.0,-0.596579476861167,-0.43663949834988575,0.15993997851128122,perfect
sh.512010,易方达沪深300医药ETF,3078,12.21,0.02777640114257296,0.02777640114257296,0.0,0.27019534623757907,0.270195346237579,-5.551115123125783e-17,0.028780662771797985,0.028780662771797992,6.938893903907228e-18,-0.6550561797752809,-0.43616678118244917,0.21888939859283169,perfect
sh.513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),848,3.36,0.7512368236587286,0.7512368236587286,0.0,0.36307260020125803,0.36307260020125803,0.0,2.014023705598798,2.014023705598798,0.0,-0.226789510985117,-0.2847078007058676,-0.05791828972075061,perfect
sz.159263,易方达国证价值100ETF,235,0.93,0.04081869310022079,0.04081869310022079,0.0,0.13166487092266804,0.13166487092266807,2.7755575615628914e-17,0.15811881297060953,0.15811881297060948,-5.551115123125783e-17,-0.15831987075928913,-0.0968275018405479,0.06149236891874123,perfect
sz.159558,易方达中证半导体材料设备主题ETF,491,1.94,1.0792908996613124,1.0792908996613124,0.0,0.40643805832050467,0.40643805832050467,0.0,2.6062788116805438,2.6062788116805438,0.0,-0.2505091649694501,-0.24347176700560433,0.007037397963845754,perfect
sh.516150,嘉实中证稀土产业ETF,1279,5.07,0.14996443681755767,0.14996443681755767,0.0,0.33093482859555906,0.33093482859555906,0.0,0.3927191265093145,0.3927191265093145,0.0,-0.583912037037037,-0.3585328668627213,0.2253791701743157,perfect
